custom_xmltv_id,uhf_pk,category,name,target_xmltv_id,target_name,target_country,target_guide_sites,source_epg_channel_id,logo_url
uhf:1819,1819,Canada,Canada- Disney HD,CA:DisneyChannel.ca,Disney Channel,CA,tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1818,1818,Canada,Canada- Disney JR HD CA,CA:DisneyChannel.ca,Disney Channel,CA,tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1815,1815,Canada,Canada- FX FHD CA,CA:FX.ca,FX,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1872,1872,Canada,Canada- FX HD Ca,CA:FX.ca,FX,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1814,1814,Canada,Canada- FXX CA,CA:FXX.ca,FXX,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1816,1816,Canada,Canada- Fight Network HD CA,CA:FightNetwork.ca,Fight Network,CA,distro.tv;i.mjh.nz;nostv.pt;plex.tv;tvhebdo.com;tvpassport.com;tvprofil.com;tvtv.us;vodafone.pt,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1898,1898,Canada,Canada- Food Network,CA:FoodNetwork.ca,Food Network,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1894,1894,Canada,Canada- Game TV,CA:GameTV.ca,Game TV,CA,ontvtonight.com;tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1798,1798,Canada,Canada- Global,CA:GlobalNewsBC1.ca,Global News: BC1,CA,tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1871,1871,Canada,Canada- HBO 1 Ca,CA:HBO1.ca,HBO 1,CA,tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1906,1906,Canada,Canada- HGTV,CA:HGTV.ca,HGTV,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1869,1869,Canada,Canada- HISTORIA QC,CA:Historia.ca,Historia,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1902,1902,Canada,Canada- History Channel,CA:History.ca,History,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1866,1866,Canada,Canada- LCN QC,CA:LCN.ca,LCN,CA,tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1865,1865,Canada,Canada- LIFETIME Ca,CA:Lifetime.ca,Lifetime,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1813,1813,Canada,Canada- Lifetime FHD CA,CA:Lifetime.ca,Lifetime,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
